"CÓDIGO
DO FUNDO",SETOR,PREÇO ATUAL,LIQUIDEZ DIÁRIA,DIVIDENDO,"DIVIDEND
YIELD","DY (3M)
ACUMULADO","DY (6M)
ACUMULADO","DY (12M)
ACUMULADO","DY (3M)
MÉDIA","DY (6M)
MÉDIA","DY (12M)
MÉDIA",DY ANO,VARIAÇÃO PREÇO,"RENTAB.
PERÍODO","RENTAB.
ACUMULADA","PATRIMÔNIO
LÍQ.",VPA,P/VPA,"DY
PATRIMONIAL","VARIAÇÃO
PATRIMONIAL","RENTAB. PATR.
NO PERÍODO","RENTAB. PATR.
ACUMULADA","VACÂNCIA
FÍSICA","VACÂNCIA
FINANCEIRA","QUANTIDADE
ATIVOS"
HCTR11,Outros,"R$ 103,70", 75574.0 ,"R$ 1,10","0,01","0,03","0,08","0,15","0,01","0,01","0,01","0,10","-0,03","-0,02","-0,03","R$ 2.680.234.010,80","R$ 121,36","0,85","0,91%","0,05%","0,96%","13,71%",N/A,N/A,0
HCHG11,Outros,"R$ 83,50", 51.0 ,"R$ 1,00","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,03","0,04","0,03","R$ 124.368.579,20","R$ 103,64","0,81","0,96%","-0,61%","0,35%","13,79%",N/A,N/A,0
HABT11,Títulos e Val. Mob.,"R$ 94,67", 17804.0 ,"R$ 1,03","0,01","0,04","0,07","0,15","0,01","0,01","0,01","0,10","-0,02","-0,01","-0,04","R$ 820.874.555,41","R$ 101,01","0,94","1,02%","1,37%","2,41%","13,97%",N/A,N/A,0
DEVA11,Títulos e Val. Mob.,"R$ 96,00", 26345.0 ,"R$ 1,00","0,01","0,04","0,08","0,16","0,01","0,01","0,01","0,10","-0,01","0,00","0,05","R$ 1.383.006.606,99","R$ 99,46","0,97","1,01%","0,59%","1,60%","14,23%",N/A,N/A,0
CXAG11,Outros,"R$ 80,94", 792.0 ,"R$ 0,75","0,01","0,03","0,06","0,00","0,01","0,01","0,00","0,07","0,03","0,04","0,12","R$ 239.938.024,94","R$ 114,77","0,71","0,65%","-0,01%","0,64%","15,90%",N/A,N/A,0
VSLH11,Outros,"R$ 9,09", 67053.0 ,"R$ 0,12","0,01","0,04","0,07","0,15","0,01","0,01","0,01","0,10","-0,06","-0,05","-0,01","R$ 315.423.895,12","R$ 10,56","0,86","1,14%","1,09%","2,24%","16,58%",N/A,N/A,0
HGIC11,Títulos e Val. Mob.,"R$ 107,87", 1.0 ,"R$ 1,05","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,03","0,04","0,11","R$ 33.767.601,21","R$ 117,09","0,92","0,90%","-1,19%","-0,30%","16,73%",N/A,N/A,0
NEWL11,Híbrido,"R$ 102,99", 321.0 ,"R$ 0,90","0,01","0,04","0,06","0,11","0,01","0,01","0,01","0,08","0,09","0,10","0,09","R$ 263.976.376,49","R$ 129,84","0,79","0,69%","0,12%","0,82%","19,39%","0,00",N/A,2
URPR11,Outros,"R$ 103,02", 33908.0 ,"R$ 1,62","0,02","0,04","0,09","0,18","0,01","0,02","0,02","0,12","-0,05","-0,03","-0,03","R$ 995.953.483,07","R$ 101,03","1,02","1,60%","0,66%","2,27%","20,72%",N/A,N/A,0
CACR11,Híbrido,"R$ 99,90", 5650.0 ,"R$ 1,54","0,02","0,04","0,07","0,15","0,01","0,01","0,01","0,10","0,04","0,05","0,04","R$ 186.509.870,57","R$ 103,19","0,97","1,49%","0,19%","1,68%","33,38%",N/A,N/A,0
